ELEMENT,int atomicNumber,String symbol,String name,float atomicMass,Color cpkHexColor(,String),String electronConfiguration,float electronegativity,int atomicRadius,float ionizationEnergy,float electronAffinity,String oxidationStates,String standardState,float meltingPoint,float boilingPoint,double density,String groupBlock,Year yearDiscovered(,int)
AT,85,At,Astatine,209.98715,Color.decode(,754F45,[Xe]6s2 4f14 5d10 6p5,2.2,202,9.5,2.8,"7, 5, 3, 1, -1",Solid,575,,7,Halogen,Year.of(,1940
RN,86,Rn,Radon,222.01758,Color.decode(,428296,[Xe]6s2 4f14 5d10 6p6,,220,10.745,,0,Gas,202,211.45,0.00973,Noble gas,Year.of(,1900
FR,87,Fr,Francium,223.01973,Color.decode(,420066,[Rn]7s1,0.7,348,3.9,0.47,1,Solid,300,,,Alkali metal,Year.of(,1939
RA,88,Ra,Radium,226.02541,Color.decode(,007D00,[Rn]7s2,0.9,283,5.279,,2,Solid,973,1413,5,Alkaline earth metal,Year.of(,1898
AC,89,Ac,Actinium,227.02775,Color.decode(,70ABFA,[Rn]7s2 6d1,1.1,260,5.17,,3,Solid,1324,3471,10.07,Actinide,Year.of(,1899
TH,90,Th,Thorium,232.038,Color.decode(,00BAFF,[Rn]7s2 6d2,1.3,237,6.08,,4,Solid,2023,5061,11.72,Actinide,Year.of(,1828
PA,91,Pa,Protactinium,231.03588,Color.decode(,00A1FF,[Rn]7s2 5f2 6d1,1.5,243,5.89,,"+5, +4",Solid,1845,,15.37,Actinide,Year.of(,1913
U,92,U,Uranium,238.0289,Color.decode(,008FFF,[Rn]7s2 5f3 6d1,1.38,240,6.194,,"+6, +5, +4, +3",Solid,1408,4404,18.95,Actinide,Year.of(,1789
NP,93,Np,Neptunium,237.048172,Color.decode(,0080FF,[Rn]7s2 5f4 6d1,1.36,221,6.266,,"+6, +5, +4, +3",Solid,917,4175,20.25,Actinide,Year.of(,1940
PU,94,Pu,Plutonium,244.0642,Color.decode(,006BFF,[Rn]7s2 5f6,1.28,243,6.06,,"+6, +5, +4, +3",Solid,913,3501,19.84,Actinide,Year.of(,1940
AM,95,Am,Americium,243.06138,Color.decode(,545CF2,[Rn]7s2 5f7,1.3,244,5.993,,"+6, +5, +4, +3",Solid,1449,2284,13.69,Actinide,Year.of(,1944
CM,96,Cm,Curium,247.07035,Color.decode(,785CE3,[Rn]7s2 5f7 6d1,1.3,245,6.02,,3,Solid,1618,3400,13.51,Actinide,Year.of(,1944
BK,97,Bk,Berkelium,247.07031,Color.decode(,8A4FE3,[Rn]7s2 5f9,1.3,244,6.23,,"+4, +3",Solid,1323,,14,Actinide,Year.of(,1949
CF,98,Cf,Californium,251.07959,Color.decode(,A136D4,[Rn]7s2 5f10,1.3,245,6.3,,3,Solid,1173,,,Actinide,Year.of(,1950
ES,99,Es,Einsteinium,252.083,Color.decode(,B31FD4,[Rn]7s2 5f11,1.3,245,6.42,,3,Solid,1133,,,Actinide,Year.of(,1952
